gene,l1norm,genelen,sampid1,sampid2
8-NS,0.0,864,4-10,6-28
1-PB2,4.751622175995778,2301,4-10,2-24
2-PB1,4.49450545445101,2307,4-10,2-24
3-PA,0.6742996860207162,2198,4-10,2-24
4-HA,4.504336392181299,1737,4-10,2-24
5-NP,2.3308342125131998,1507,4-10,2-24
6-NA,4.788594933310349,1437,4-10,2-24
7-M,0.4382925524353042,1003,4-10,2-24
8-NS,2.2633033256006043,864,4-10,2-24
1-PB2,4.817630322055212,2301,4-10,3-15
2-PB1,9.092550466366943,2280,4-10,3-15
3-PA,4.440519657967721,2198,4-10,3-15
4-HA,7.120246749389533,1736,4-10,3-15
5-NP,4.3526930203892045,1507,4-10,3-15
6-NA,2.478942699219197,1437,4-10,3-15
7-M,0.49122095616560557,1001,4-10,3-15
8-NS,2.1446792109043766,864,4-10,3-15
1-PB2,3.2041361207179744,2301,4-10,2-26
2-PB1,2.4780716856628944,2307,4-10,2-26
3-PA,4.4219480573152525,2198,4-10,2-26
4-HA,8.316271909542078,1737,4-10,2-26
5-NP,2.2619386397844754,1507,4-10,2-26
6-NA,8.043253712072305,1437,4-10,2-26
7-M,0.2185355915557365,1003,4-10,2-26
8-NS,0.18201904909127414,864,4-10,2-26
1-PB2,14.392480866301698,2301,4-10,4-13
2-PB1,6.195954112758455,2304,4-10,4-13
3-PA,4.311467438995391,2198,4-10,4-13
4-HA,8.365936133071406,1732,4-10,4-13
5-NP,8.064676616915422,1507,4-10,4-13
6-NA,6.048309178743962,1437,4-10,4-13
7-M,4.532458069567667,1003,4-10,4-13
8-NS,0.0,864,4-10,4-13
1-PB2,4.424637251705969,2301,4-10,6-17
2-PB1,4.087719298245614,2307,4-10,6-17
3-PA,2.405383532344912,2198,4-10,6-17
4-HA,12.730154566662556,1737,4-10,6-17
5-NP,4.1387506909894975,1507,4-10,6-17
6-NA,6.046632124352332,1437,4-10,6-17
7-M,0.5125138545000815,1003,4-10,6-17
8-NS,1.1956521739130435,864,4-10,6-17
1-PB2,15.088758590304042,2301,4-10,3-20
2-PB1,18.28509475671514,2277,4-10,3-20
3-PA,7.634619644978452,2198,4-10,3-20
4-HA,16.710928650496115,1687,4-10,3-20
5-NP,10.806069909797717,1507,4-10,3-20
6-NA,4.0,1437,4-10,3-20
7-M,4.423608532511166,1000,4-10,3-20
8-NS,0.0,864,4-10,3-20
1-PB2,4.568841447159045,2301,4-10,6-22
2-PB1,4.253273143005373,2307,4-10,6-22
