sampid,gene,pi
6-18,5-NP,0.0003154035774623897
3-20,1-PB2,0.00031471242558807946
3-9,3-PA,0.0002592527176711068
4-4,3-PA,0.00013164838841967942
6-24,1-PB2,0.0005920163494661814
4-9,2-PB1,0.00010169060300986422
2-23,5-NP,0.00010647045117153609
6-25,8-NS,0.0001350073932348132
4-5,7-M,0.00043389653195911984
4-5,8-NS,0.0002009132485703507
4-19,6-NA,0.00042775567628942576
3-20,3-PA,0.0005958440555125506
3-25,1-PB2,0.0001343697297108145
4-4,6-NA,0.00046849145769703904
4-10,1-PB2,0.00013647071925765962
6-26,7-M,0.00027794093150140944
3-1,3-PA,0.00012395747226168357
6-23,3-PA,0.00011562592956292919
3-7,2-PB1,0.0005874651870321647
6-32,8-NS,0.00032673842850404163
4-5,4-HA,0.00010530219605156637
3-20,7-M,0.00036629500121817166
6-20,8-NS,0.0002156645343062635
3-27,1-PB2,0.00027485215174249256
3-13,4-HA,0.0003410497285770041
6-32,4-HA,0.00018164120690125483
3-3,6-NA,0.0005879918734033125
6-27,6-NA,0.00022552470939202253
4-19,7-M,0.0003325585828756969
4-19,8-NS,0.0002379558261184386
3-22,6-NA,0.00014533000237182064
4-11,6-NA,0.0002756459779945235
2-22,3-PA,8.509720907871094e-05
2-26,3-PA,7.865149661307814e-05
4-13,2-PB1,4.6451868767694773e-05
2-28,7-M,0.0005722454179444389
3-28,4-HA,7.408903549227679e-05
6-18,3-PA,7.007509352059959e-05
6-22,2-PB1,7.078194221096842e-05
3-26,6-NA,0.00011779167212187158
6-32,6-NA,0.00023976723830744403
3-7,4-HA,0.00035909703286613116
4-1,6-NA,0.00012069122406958269
4-9,7-M,0.00028780292145590077
3-24,3-PA,0.0001017267361896915
6-20,5-NP,0.0001388608089223291
3-10,5-NP,0.00017918967134551781
3-3,8-NS,0.00021351539284849682
3-20,5-NP,0.0006403668933214694
6-23,1-PB2,5.928138853099692e-05
2-21,6-NA,0.00022892161922409435
2-21,2-PB1,6.36994806371177e-05
2-29,4-HA,0.00011691636851583131
6-24,5-NP,0.00048392238364176134
3-10,3-PA,6.936993920748035e-05
2-24,1-PB2,0.00017344768489561849
3-15,4-HA,0.000549599197209565
4-17,4-HA,0.00023936055647163267
6-25,5-NP,0.00021206183324952755
6-22,4-HA,0.00026203187374340464
3-18,3-PA,0.0009398922612041766
3-30,4-HA,6.642278491724689e-05
4-19,1-PB2,5.534899328706937e-05
4-1,2-PB1,0.0003715188299999653
6-18,7-M,0.00045182291254422394
6-18,8-NS,0.000811805786950753
6-20,1-PB2,0.0001360330594763373
2-25,3-PA,0.0002447398299173185
3-13,3-PA,0.00041968987869454014
4-17,6-NA,0.0007184283874589852
3-10,1-PB2,0.00020931982774572165
6-25,4-HA,0.0005701797577819575
4-19,4-HA,0.00015695241478752933
3-22,2-PB1,0.0004071691780355104
4-11,2-PB1,0.0003179145310401354
3-7,5-NP,0.0005608047989101036
6-20,3-PA,0.00019073030186627429
6-25,3-PA,0.00014771677515473076
3-13,5-NP,0.0006403048622725395
4-10,7-M,0.000404432216753711
3-1,4-HA,0.0003636331827943006
2-24,6-NA,0.0005087839574411199
2-17,6-NA,0.00028950427332548605
6-28,7-M,0.0008955547358979481
2-23,4-HA,0.00022667350881335876
6-31,4-HA,0.0002496996315383364
3-15,8-NS,0.0003500158674888796
2-20,3-PA,0.00014849280276061443
6-24,8-NS,0.000980933994125958
3-24,4-HA,0.0005677768198132733
6-27,4-HA,0.00012965749789214807
