sampid,mapped,unmapped,fail_qual
H3N2_3609_T1_N_S502_N710_R,334422,2748,58
H3N2_3609_T3_N_S502_N712_R,272059,1527,42
H3N2_3609_T0_N_S502_N709_R,456166,891,55
H3N2_3609_T4_N_S503_N701_R,412265,18286,48
H3N2_3610_T1_N_S503_N704_R,250418,467,32
H3N2_3609_T5_N_S503_N702_R,306159,1889,37
H3N2_3610_T0_N_S503_N703_R,318504,790,56
H3N2_3610_T2_N_S503_N705_R,287608,14581,19
H3N2_3611_T1_N_S503_N707_R,195799,28523,290
H3N2_3611_T0_N_S503_N706_R,209972,184,46
H3N2_3611_T4_N_S503_N709_R,324608,66684,151
H3N2_3612_T1_N_S503_N711_R,206373,1515,34
H3N2_3611_T3_N_S503_N708_R,445605,4649,285
H3N2_3612_T0_T_S503_N710_R,320959,1686,28
H3N2_3612_T4_N_S504_N702_R,77501,111512,13
H3N2_3612_T2_N_S503_N712_R,158894,824,30
H3N2_3612_T3_T_S504_N701_R,205663,245176,20
H3N2_3613_T1_T_S504_N704_R,185211,3511,26
H3N2_3613_T3_T_S504_N706_R,147395,8375,23
H3N2_3613_T0_T_S504_N703_R,285731,36647,27
H3N2_3613_T2_T_S504_N705_R,298773,1471,28
H3N2_3615_T2_N_S504_N709_R,66328,195563,8
H3N2_3615_T0_T_S504_N707_R,179846,537,25
H3N2_3615_T1_N_S504_N708_R,319626,67048,44
H3N2_3615_T7_N_S504_N710_R,263784,18281,34
