sampid,gene,pi
H3N2_1414_T0_N_S504_N711_R,2-PB1,0.0002080968704097624
H3N2_1815_T0_N_S502_N712_R,3-PA,8.209743670151441e-05
H3N2_1842_T4_N_S504_N709_R,1-PB2,0.00010415637755403648
H3N2_1828_T0_N_S503_N708_R,1-PB2,7.490147158305328e-05
H3N2_1860_T3_N_S506_N706_R,4-HA,0.00015836482030015173
H3N2_1225_T3_N_S502_N709_RP,8-NS,0.0002707528503246097
H3N2_1686_T3_T_S508_N702_RP,3-PA,6.129994017646127e-05
H3N2_1231_T4_N_S503_N710_R,4-HA,0.00012419333757390528
H3N2_1686_T3_T_S508_N702_RP,7-M,0.000270224401991127
H3N2_1686_T3_T_S508_N702_RP,6-NA,0.00018031561500464358
H3N2_1866_T7_T_S507_N703_R,4-HA,0.00014983013720332286
H3N2_3612_T0_T_S503_N710_R,1-PB2,9.139785657123542e-05
H3N2_1673_T0_T_S507_N701_R,8-NS,0.00028575124815600523
H3N2_1848_T1_N_S505_N710_R,4-HA,0.00043210282656946323
H3N2_1418_T2_T_S505_N707_R,8-NS,0.00014559008953008551
H3N2_1418_T6_T_S505_N708_R,7-M,0.00016855345741886504
H3N2_1414_T6_T_S505_N701_RP,7-M,0.0006077090209220809
H3N2_1840_T3_N_S504_N702_R,5-NP,0.00016759533898454455
H3N2_1840_T10_T_S504_N704_RP,5-NP,0.00010906606832932764
H3N2_1225_T2_N_S502_N708_RP,4-HA,0.0003167530973404234
H3N2_1815_T3_N_S503_N703_R,1-PB2,6.068600426035634e-05
H3N2_1840_T2_N_S504_N701_R,8-NS,0.0001026106900798475
H3N2_1842_T4_N_S504_N709_R,8-NS,0.0004717574325913767
H3N2_1412_T2_N_S504_N702_R,2-PB1,0.00019390433284590915
H3N2_1412_T3_T_S504_N703_R,3-PA,0.00010331732112599376
H3N2_1682_T10_N_S507_N711_R,5-NP,0.0001945590431296037
H3N2_1673_T0_T_S507_N701_R,5-NP,0.0008343392689422924
H3N2_1875_T1_N_S508_N710_R,4-HA,8.586511598751274e-05
H3N2_1866_T1_N_S506_N712_R,1-PB2,6.749179273295078e-05
H3N2_1673_T0_T_S507_N701_R,1-PB2,0.0001402643578849591
H3N2_3613_T2_T_S504_N705_R,1-PB2,0.00013875959752310946
H3N2_3615_T2_N_S504_N709_R,5-NP,0.0003058502231917722
H3N2_1231_T4_N_S503_N710_R,2-PB1,0.00011569402198755122
H3N2_1876_T1_N_S517_N703_R,8-NS,0.00036060058443449183
H3N2_1418_T0_T_S505_N705_R,2-PB1,0.00033373030324139084
H3N2_1225_T7_N_S502_N711_RP,7-M,0.0004605331756598827
H3N2_1813_T1_T_S502_N703_R,1-PB2,0.0001090420375969068
H3N2_3611_T4_N_S503_N709_R,8-NS,0.0002891720141539627
H3N2_1707_T5_N_S517_N712_R,6-NA,0.00011820516942581706
H3N2_1847_T2_N_S505_N708_RP,6-NA,0.0002275668359660283
H3N2_3612_T3_T_S504_N701_R,2-PB1,8.88641341190301e-05
H3N2_1225_T5_T_S502_N710_R,1-PB2,0.0004811105135969774
H3N2_1672_T2_T_S506_N711_R,2-PB1,4.893822630937335e-05
H3N2_1864_T0_T_S506_N708_R,6-NA,0.00037849318153303154
H3N2_1878_T1_N_S517_N708_R,8-NS,0.0004107946059871008
H3N2_1231_T1_N_S503_N708_R,4-HA,0.00017269672099260233
H3N2_1225_T1_N_S502_N707_R,1-PB2,9.246518111707123e-05
H3N2_1686_T0_N_S507_N712_R,5-NP,0.00035294653749963126
H3N2_1843_T0_N_S504_N711_R,1-PB2,9.089372428596439e-05
H3N2_1814_T5_T_S502_N711_R,2-PB1,0.00010951662754997465
H3N2_1224_T3_T_S502_N705_RP,4-HA,0.0003347139770917943
H3N2_1701_T0_T_S517_N704_R,7-M,0.0007648416303551766
