sampid,total_reads,discarded,retained,retained_prop,initial_mean_len,initial_sd_len,trimmed_mean_len,trimmed_sd_len
2-24,94943,132,94811,0.9986096921310681,844.9650843137462,288.2741655353801,355.5858919323707,124.90665023089127
3-27,16774,27,16747,0.9983903660426852,854.4187432931918,271.4104367122406,323.6010031647459,137.06062595035786
3-26,19470,76,19394,0.9960965588084232,1019.2679506933745,248.23031551849726,360.4263689800969,106.84546288662762
3-28,18734,5,18729,0.9997331055834312,1040.0307462367887,245.80913142623382,364.99076298787975,104.92841974449402
3-3,15183,25,15158,0.9983534215899361,951.7951656457881,325.15396482406413,287.5219685974403,128.02465573106687
3-30,15606,11,15595,0.9992951428937588,1019.3465333845957,276.87117615655785,360.08810516191085,108.14136115059597
2-26,104878,51,104827,0.9995137207040562,924.9280592688648,291.1671739078534,339.87267593272725,120.4575136242405
3-29,23436,10,23426,0.9995733060249189,992.6363713944359,274.38720669924527,360.9089473234867,108.38950017172637
3-6,21742,17,21725,0.9992181032103762,916.8781160886763,277.49551735984113,306.0904027617952,114.20990232154804
3-9,12158,18,12140,0.99851949333772,935.0152163184734,252.45288668803028,349.9554365733114,135.00263241131825
3-7,18367,40,18327,0.9978221810856427,921.146676103882,278.5547954810964,284.73318055328207,111.78934154838333
4-17,12611,29,12582,0.99770042026802,879.5174054396955,210.66139510727,357.35105706564934,130.9825125654585
4-1,19430,4,19426,0.9997941327843541,1032.9253216675245,254.2505651338876,363.8775867394214,113.52875094976815
4-10,23606,4,23602,0.9998305515546895,1074.9734389561975,261.1634684007747,362.5903736971443,114.16997418915183
4-22,9235,22,9213,0.9976177585273416,906.7119653492149,520.6330450320668,253.65874308042982,141.70261094556113
4-11,25334,4,25330,0.9998421094181732,1083.5849056603774,246.13782030523058,360.2744571654165,113.37539042179344
4-13,23999,56,23943,0.9976665694403933,1037.2389682903454,289.9363718068334,345.21041640563004,115.93787420087916
4-19,20418,12,20406,0.9994122832794593,997.2786267019296,274.5558652569988,356.1382436538273,113.94344216961352
4-2,23104,11,23093,0.999523891966759,775.8927458448753,252.54555582792813,334.357857359373,137.39731511589252
4-5,16334,43,16291,0.9973674543896167,849.1303416187094,253.83231429960037,350.03578663065497,136.7212710698165
4-4,18962,7,18955,0.9996308406286257,984.0237844109271,281.55798199389216,359.45513057240834,121.28666684739736
6-17,18432,4,18428,0.9997829861111112,753.4812282986111,293.1461898022422,301.02067505969177,99.8898897565958
4-7,19345,12,19333,0.9993796846730422,1022.2829671749806,280.57270419742866,360.0601562095898,115.00721264869087
4-9,20705,8,20697,0.9996136198985752,970.0575706351123,337.44901694147273,341.2898487703532,127.53237236492404
6-20,12676,4,12672,0.9996844430419691,662.8327548122436,263.53863389163195,314.39094065656565,108.55884101241772
6-18,22961,5,22956,0.9997822394495013,719.3445842951091,280.64850761748335,309.9297787070918,105.21665956461354
6-21,28681,24,28657,0.9991632090931278,621.919877270667,220.56897720587864,329.57176257109955,118.05879379459425
6-23,15453,3,15450,0.9998058629392351,873.1019866692552,268.24349395077616,331.92258899676375,126.45724218232267
6-25,10887,19,10868,0.9982547993019197,1127.4720308624965,353.5051119274859,269.12780640412217,90.92232806706028
6-24,20239,8,20231,0.9996047235535352,716.7942092000593,275.9502121954223,298.95511838268004,105.85940023104185
6-26,18269,11,18258,0.9993978871312059,884.7644643932344,268.0086741389996,327.0223463687151,130.6227010106498
6-27,9374,13,9361,0.9986131854064434,1186.948794538084,381.6121002989386,245.04219634654416,97.91314305304458
6-28,14086,8,14078,0.9994320602016187,850.8871929575465,285.10424349557513,334.5755789174599,127.86661937710446
6-31,12602,11,12591,0.9991271226789399,1184.812331375972,333.43423148850724,268.2759113652609,89.15203811597185
6-32,14508,15,14493,0.9989660876757651,1180.9956575682381,364.67179293077436,262.5544745739322,90.84634572597844
6-22,68936,14,68922,0.9997969130787977,1192.7531478472786,293.6653666895454,289.87803604074173,99.5713606738438
